YearMonth,Year,Month,Value
1991-Jan,1991,Jan,5.6
1992-Jan,1992,Jan,3.9
1993-Jan,1993,Jan,3.5
1994-Jan,1994,Jan,2.9
1995-Jan,1995,Jan,2.9
1996-Jan,1996,Jan,3.0
1997-Jan,1997,Jan,2.5
1998-Jan,1998,Jan,2.2
1999-Jan,1999,Jan,2.4
2000-Jan,2000,Jan,2.0
2001-Jan,2001,Jan,2.6
2002-Jan,2002,Jan,2.6
2003-Jan,2003,Jan,1.9
2004-Jan,2004,Jan,1.1
2005-Jan,2005,Jan,2.3
2006-Jan,2006,Jan,2.1
2007-Jan,2007,Jan,2.7
2008-Jan,2008,Jan,2.5
2009-Jan,2009,Jan,1.7
2010-Jan,2010,Jan,1.6
2011-Jan,2011,Jan,1.0
2012-Jan,2012,Jan,2.3
2013-Jan,2013,Jan,1.9
2014-Jan,2014,Jan,1.6
2015-Jan,2015,Jan,1.6
2016-Jan,2016,Jan,2.2
2017-Jan,2017,Jan,2.3
2018-Jan,2018,Jan,1.8
2019-Jan,2019,Jan,2.2
2020-Jan,2020,Jan,2.3
2021-Jan,2021,Jan,1.4
2022-Jan,2022,Jan,6.0
2023-Jan,2023,Jan,5.6
2024-Jan,2024,Jan,3.9
1991-Feb,1991,Feb,5.6
1992-Feb,1992,Feb,3.8
1993-Feb,1993,Feb,3.6
1994-Feb,1994,Feb,2.8
1995-Feb,1995,Feb,3.0
1996-Feb,1996,Feb,2.9
1997-Feb,1997,Feb,2.5
1998-Feb,1998,Feb,2.3
1999-Feb,1999,Feb,2.1
2000-Feb,2000,Feb,2.2
2001-Feb,2001,Feb,2.7
2002-Feb,2002,Feb,2.6
2003-Feb,2003,Feb,1.7
2004-Feb,2004,Feb,1.2
2005-Feb,2005,Feb,2.4
2006-Feb,2006,Feb,2.1
2007-Feb,2007,Feb,2.7
2008-Feb,2008,Feb,2.3
2009-Feb,2009,Feb,1.8
2010-Feb,2010,Feb,1.3
2011-Feb,2011,Feb,1.1
2012-Feb,2012,Feb,2.2
2013-Feb,2013,Feb,2.0
2014-Feb,2014,Feb,1.6
2015-Feb,2015,Feb,1.7
2016-Feb,2016,Feb,2.3
2017-Feb,2017,Feb,2.2
2018-Feb,2018,Feb,1.8
2019-Feb,2019,Feb,2.1
2020-Feb,2020,Feb,2.4
2021-Feb,2021,Feb,1.3
2022-Feb,2022,Feb,6.4
2023-Feb,2023,Feb,5.5
2024-Feb,2024,Feb,3.8
1991-Mar,1991,Mar,5.2
1992-Mar,1992,Mar,3.9
1993-Mar,1993,Mar,3.4
1994-Mar,1994,Mar,2.9
1995-Mar,1995,Mar,3.0
1996-Mar,1996,Mar,2.8
1997-Mar,1997,Mar,2.5
1998-Mar,1998,Mar,2.1
1999-Mar,1999,Mar,2.1
2000-Mar,2000,Mar,2.4
2001-Mar,2001,Mar,2.7
2002-Mar,2002,Mar,2.4
2003-Mar,2003,Mar,1.7
2004-Mar,2004,Mar,1.6
2005-Mar,2005,Mar,2.3
2006-Mar,2006,Mar,2.1
2007-Mar,2007,Mar,2.5
2008-Mar,2008,Mar,2.4
2009-Mar,2009,Mar,1.8
2010-Mar,2010,Mar,1.1
2011-Mar,2011,Mar,1.2
2012-Mar,2012,Mar,2.3
2013-Mar,2013,Mar,1.9
2014-Mar,2014,Mar,1.7
2015-Mar,2015,Mar,1.8
2016-Mar,2016,Mar,2.2
2017-Mar,2017,Mar,2.0
2018-Mar,2018,Mar,2.1
2019-Mar,2019,Mar,2.0
2020-Mar,2020,Mar,2.1
2021-Mar,2021,Mar,1.6
2022-Mar,2022,Mar,6.5
2023-Mar,2023,Mar,5.6
2024-Mar,2024,Mar,3.8
1991-Apr,1991,Apr,5.1
1992-Apr,1992,Apr,3.9
1993-Apr,1993,Apr,3.5
1994-Apr,1994,Apr,2.8
1995-Apr,1995,Apr,3.1
1996-Apr,1996,Apr,2.7
1997-Apr,1997,Apr,2.7
1998-Apr,1998,Apr,2.1
1999-Apr,1999,Apr,2.2
2000-Apr,2000,Apr,2.3
2001-Apr,2001,Apr,2.6
2002-Apr,2002,Apr,2.5
2003-Apr,2003,Apr,1.5
2004-Apr,2004,Apr,1.8
2005-Apr,2005,Apr,2.2
2006-Apr,2006,Apr,2.3
2007-Apr,2007,Apr,2.3
2008-Apr,2008,Apr,2.3
2009-Apr,2009,Apr,1.9
2010-Apr,2010,Apr,0.9
2011-Apr,2011,Apr,1.3
2012-Apr,2012,Apr,2.3
2013-Apr,2013,Apr,1.7
2014-Apr,2014,Apr,1.8
2015-Apr,2015,Apr,1.8
2016-Apr,2016,Apr,2.1
2017-Apr,2017,Apr,1.9
2018-Apr,2018,Apr,2.1
2019-Apr,2019,Apr,2.1
2020-Apr,2020,Apr,1.4
2021-Apr,2021,Apr,3.0
2022-Apr,2022,Apr,6.2
2023-Apr,2023,Apr,5.5
2024-Apr,2024,Apr,3.6
1991-May,1991,May,5.1
1992-May,1992,May,3.8
1993-May,1993,May,3.4
1994-May,1994,May,2.8
1995-May,1995,May,3.1
1996-May,1996,May,2.7
1997-May,1997,May,2.5
1998-May,1998,May,2.2
1999-May,1999,May,2.0
2000-May,2000,May,2.4
2001-May,2001,May,2.5
2002-May,2002,May,2.5
2003-May,2003,May,1.6
2004-May,2004,May,1.7
2005-May,2005,May,2.2
2006-May,2006,May,2.4
2007-May,2007,May,2.2
2008-May,2008,May,2.3
2009-May,2009,May,1.8
2010-May,2010,May,0.9
2011-May,2011,May,1.5
2012-May,2012,May,2.3
2013-May,2013,May,1.7
2014-May,2014,May,2.0
2015-May,2015,May,1.7
2016-May,2016,May,2.2
2017-May,2017,May,1.7
2018-May,2018,May,2.2
2019-May,2019,May,2.0
2020-May,2020,May,1.2
2021-May,2021,May,3.8
2022-May,2022,May,6.0
2023-May,2023,May,5.3
2024-May,2024,May,3.4
1991-Jun,1991,Jun,5.0
1992-Jun,1992,Jun,3.8
1993-Jun,1993,Jun,3.3
1994-Jun,1994,Jun,2.9
1995-Jun,1995,Jun,3.0
1996-Jun,1996,Jun,2.7
1997-Jun,1997,Jun,2.4
1998-Jun,1998,Jun,2.2
1999-Jun,1999,Jun,2.1
2000-Jun,2000,Jun,2.5
2001-Jun,2001,Jun,2.7
2002-Jun,2002,Jun,2.3
2003-Jun,2003,Jun,1.5
2004-Jun,2004,Jun,1.9
2005-Jun,2005,Jun,2.0
2006-Jun,2006,Jun,2.6
2007-Jun,2007,Jun,2.2
2008-Jun,2008,Jun,2.4
2009-Jun,2009,Jun,1.7
2010-Jun,2010,Jun,0.9
2011-Jun,2011,Jun,1.6
2012-Jun,2012,Jun,2.2
2013-Jun,2013,Jun,1.6
2014-Jun,2014,Jun,1.9
2015-Jun,2015,Jun,1.8
2016-Jun,2016,Jun,2.2
2017-Jun,2017,Jun,1.7
2018-Jun,2018,Jun,2.3
2019-Jun,2019,Jun,2.1
2020-Jun,2020,Jun,1.2
2021-Jun,2021,Jun,4.5
2022-Jun,2022,Jun,5.9
2023-Jun,2023,Jun,4.8
2024-Jun,2024,Jun,3.3
1991-Jul,1991,Jul,4.8
1992-Jul,1992,Jul,3.7
1993-Jul,1993,Jul,3.2
